Intent,Query,Responses
Acad_Axi_DAP_Riesgo en un proyecto,Example of Risk in a project,"Risk in a project: Bperez. (2012). Projects management. Most common problems and risks .. January 25, 2012, from Hiberus Website: Nextop. (2017). Project Management Plan. July 15, 2017, from Nextop Website: Click here for more related information < / a>"
Acad_Axi_DAP_ruta critica en un proyecto,What is the critical path for me in a project?,The critical path in a project is used to calculate and schedule a series of activities in the shortest and most efficient time to carry out a project
Acad_Axi_DAP_tareas de mi proyecto,How do I describe my project tasks?,"""Tasks of my project: Specify the activities and tasks to be carried out. Set a start and end date for each activity. It indicates the quantity and quality of the necessary resources (human resources, services, equipment, money, goods, etc.) for each activity and task. It indicates the methods and techniques that will be used to carry out the different activities. """
Acad_Axi_DAP_tareas dirigidos a la ejecución de un proyecto,Examples of tasks to integrate efforts directed to the execution of a project,"Emilio Sanz. (2018). Fases de Ejecución de un Proyecto. 15 de noviembre de 2018, de Consultores documentales Sitio web: https://sorprendemos.com/consultoresdocumentales/?p=347 Dá click aquí"
Acad_Axi_DAP_uso de planeación estratégica,Is it necessary to do strategic planning?,"Strategic planning is necessary since it is a continuous and systematic process of analysis of the general situation of an organization at any given time, development of mission, vision and values, establishment of short, medium and long term objectives, together with the allocation of resources for its achievement, likewise the elaboration of plans and programs, and finally the evaluation and constant feedback of the progress of the established plan."
Acad_Axi_FHC_ IEG,What is IEG?,"Currently, a Gender Equity Index (GI) is used to measure the gap between men and women in education, political empowerment, and economic activity."
Acad_Axi_FHC_actitudes de ayuda para relacionarnos,Mention helpful attitudes to relate:,"Helping attitudes to relate: empathy, unconditional acceptance, authenticity."
Acad_Axi_FHC_activo la configuración sin conexión,"""How do I activate the offline settings?""","While in your email, click on the button http://online.aliat.edu.mx/licenciatura/Contenidos/Expertia/MODULO_1/s1_04b_clip_image001.png Configuration and select Offline Configuration. Select the Enable offline access option. Click OK. If you are the only person using the equipment click Next. Read the messages on the screen carefully and click Next again. Add Outlook Web App to favorites, press CTR + D, and then click Add, and then click Next. Click OK to finish."
Acad_Axi_FHC_administrar el tiempo,Advantages of managing time,"It helps to be more specific about the value you give to each aspect of your life, maintaining a balance in the different pressures, having control of time helps to achieve your goals, regulating stress, changes and wear and tear"
Acad_Axi_FHC_androcentrismo,Androcentrism,Androcentrism held that the ways of thinking in all areas of societies were described by and for men
Acad_Axi_FHC_cambiar contraseña,How to change password?,"While in your email, click on the button http://online.aliat.edu.mx/licenciatura/Contenidos/Expertia/MODULO_1/s1_04b_clip_image001.png Configuration and select Options. Click Change password, this option is in the information blocks on the right side of the screen. You may be prompted to log in again, if so please do so. In the space to Change your password, type your old password and then your new password twice in the boxes that are requested. Click Save. If your password is changed successfully, your profile page will be displayed. Close the My Profile page."
Acad_Axi_FHC_caracterizan un valor,What are the aspects that characterize a value?,"They characterize a value: Objectivity, dependence, polarity, quality and hierarchy."
Acad_Axi_FHC_comunidad virtual,What is virtual community?,"allows users to feel like members of a group in which they are recognized and whose ties are strengthened, since group norms and social pressure make the most influential users are accepted as opinion leaders, so their opinions sink deep in the community and go viral immediately"
Acad_Axi_FHC_concentración,How does concentration help us?,"Concentration: It can help us at all times, from a simple conversation, to a megaproject requires concentration and dedication to be successful."
Acad_Axi_FHC_Conducta,Conduct,"The behavior of a biological specimen is formed by stable behavior patterns, mediated by evolution, protected and perpetuated by genetics. This behavior is manifested through its adaptive qualities, within a comprehensive, personal and social biodiversity context."
Acad_Axi_FHC_Conductas Adictivas,Addictive behaviors,"Addictive Behaviors: They can be defined as abuse of legal substances or activities of any kind, as well as the use of illegal substances, which become the fundamental axis of a person's lifestyle, occupy their life time in excess and create dysfunction in areas essential to its existence, with manifestations or symptoms in the following spheres: physical, psychic, social, cultural and spiritual"
Acad_Axi_FHC_construye la vocación,How is the vocation built?,a vocation is built from specific conditions provided by the social context and also by the family environment.
Acad_Axi_FHC_crear correo,How to create the institutional mail?,"Create email: Go to portal.office.com league Capital letter “E” accompanied by your ID; This would be an example: E00000012345"""" Readable as follows: Email account: E+ID@aliat.edu.mx"
Acad_Axi_FHC_Cuál es el feminismo liberal,What is liberal feminism?,feminismo liberal: Sobre todo la necesidad de formar y promover mujeres para ocupar puestos públicos
Acad_Axi_FHC_Cuáles son los Elementos que nos ayudan a potencializar la escucha activa,What are the elements that help  us  to enhance active listening?,"Elements that help us to potentiate active listening: Show interest in the subject and person, gestures when listening and accompanying, observing what is not said, observing the voice and observing facial and postulate gestures."
Acad_Axi_FHC_Cómo definimos la habilidad social de iniciar a la acción,How do we define the social ability to initiate action?,"social ability to initiate action: Do not leave alone in words, do not leave it in a conversation, take them to action"
Acad_Axi_FHC_Cómo influyen los grupos sociales en las personas,How do social groups influence people?,"Social groups influence: the behaviors and belief systems of each person. Throughout the development process, people build on their differences from others."
Acad_Axi_FHC_Cómo se clasifican  los valores humanos,How are human values ​​classified?,"Human values: In social, intellectual, economic and spiritual."
