Intents,Query,Response
Acad_Teo_CA_costos involucrados en relación con el tamaño del lote,Minimizan los costos involucrados en relación con el tamaño del lote.,"Qo. <br />
Para más información relacionada con el tema, da clic en alguna de las opciones siguientes: <br />
<a href=""""https://dialnet.unirioja.es/descarga/articulo/4835718.pdf """" target=""""_blank"""">Planeación por lotes de aprovisionamiento, según el rendimiento sobre la inversión. (PDF)</a><br />
<a href=""""http://enah.edu.ni/files/uploads/biblioteca/880.pdf” target=""""_blank"""">Aprovisionamiento y Control de Productos y Materiales. (PDF)</a><br />
<a href=""""https://www.youtube.com/watch?v=WFLb4XHHX2E“ target=""""_blank"""">Programación de compras. (Video)</a>
<a href=""""https://www.youtube.com/watch?v=ZhEOuZeM0I0"""" target=""""_blank"""">Planeación y política de compras. (Video)</a><br />"
Acad_Teo_CA_Cotización,¿Qué es cotización?,"Cotización: Documento que contiene la propuesta económica de un proveedor. <br />
Para más información relacionada con el tema, da clic en alguna de las opciones siguientes: <br />
<a href=""""https://intranet.ugc.edu.co/documentos/gestion_calidad/procesos/apoyo_administrativo/compras/manual_procedimientos_compras_suministros.pdf"""" target=""""_blank"""">Manual de procedimientos, compras y suministros. (PDF)</a><br />
<a href=""""https://www.youtube.com/watch?v=E3ucnk57Bm4&t=19s"""" target=""""_blank"""">Administración de las compras Parte 2-Objetivos del departamento de compras. (Video)</a><br />
<a href=""""https://pyme.lavoztx.com/cules-son-las-funciones-del-departamento-de-compras-de-una-organizacin-4273.html"""" target=""""_blank"""">¿Cuáles son las funciones del departamento de compras de una organización? (Página Web)</a>
<a href=""""https://www.youtube.com/watch?v=yovKEX-As7g"""" target=""""_blank"""">Administración de las compras Parte 3-Proceso de compras primera parte. Video)</a><br />"
Acad_Teo_CA_Cuántos tratados internacionales tiene vigentes México,¿Cuántos tratados internacionales tiene vigentes México?,"12. <br />
Para más información relacionada con el tema, da clic en alguna de las opciones siguientes: <br />
<a href=""""https://www.gob.mx/se/acciones-y-programas/comercio-exterior-paises-con-tratados-y-acuerdos-firmados-con-mexico"""" target=""""_blank"""">Contratos Internacionales. (Página Web)</a><br />
<a href=""""http://www.diputados.gob.mx/sedia/sia/spi/SAPI-ISS-10-12.pdf” target=""""_blank"""">Los tratados internacionales en México (PDF)</a><br />
<a href=""""https://www.youtube.com/watch?v=jCM-BmR3HZY“ target=""""_blank"""">¿Qué es un tratado internacional y cómo funciona? (Video)</a>
<a href=""""https://www.youtube.com/watch?v=MW7cttkdXns"""" target=""""_blank"""">Los organismos de comercio internacional (Video)</a><br />
<a href=""""https://www.youtube.com/watch?v=_f4J6j1kpLE&t=29s"""" target=""""_blank"""">¿Qué es un tratado de libre comercio? TLC. (Video)</a><br />"
Acad_Teo_CA_Código de ética,¿Cuál es el código de ética?,Esta herramienta administrativa se debe implementar en las empresas a fin de evitar corrupción y fraudes en el área de compras.
Acad_Teo_CA_datos que determinan el nivel de un inventario,¿Cómo se llama los dos datos que determinan el nivel de un inventario?,"Demanda y costo de mantenimiento. <br />
Para más información relacionada con el tema, da clic en alguna de las opciones siguientes: <br />
<a href=""""https://www.emaze.com/@AFRCIQOC/demandas-cclicas"""" target=""""_blank"""">Demandas cíclicas de producción. (PDF)</a><br />
<a href=""""https://alandap.files.wordpress.com/2015/10/administracion-de-la-cadena-de-suministro-estrategia-planeacion-y-operacion-sunil-chopra-peter-meindl.pdf” target=""""_blank"""">El Papel De La TI En La Cadena De Suministro (PDF)</a><br />
<a href=""""https://www.youtube.com/watch?v=Sc7hTkYdbxo“ target=""""_blank""""> Volumen óptimo de pedido | Gestión de stocks (Video)</a>
<a href=""""https://www.youtube.com/watch?v=4mPmc37pP-w"""" target=""""_blank"""">Gestión de pedidos – KPI’s Logísticos – Indicadores de desempeño logístico (Video)</a><br />
<a href=""""https://www.youtube.com/watch?v=PuEQro2dVdg"""" target=""""_blank"""">Indicadores de desempeño de compras – KPI Compras – Porcentaje de proveedores evaluados. (Video)</a><br />"
Acad_Teo_CA_decisión sobre qué proveedor elegir para hacer las adquisiciones de la organización,¿Qué Instrumento permite tomar una decisión sobre qué proveedor elegir para hacer las adquisiciones de la organización?,Instrumento de evaluación.
Acad_Teo_CA_demanda cíclica,¿Qué es una demanda cíclica?,"Un consumo constante. <br />
Para más información relacionada con el tema, da clic en alguna de las opciones siguientes: <br />
<a href=""""https://www.emaze.com/@AFRCIQOC/demandas-cclicas"""" target=""""_blank"""">Demandas cíclicas de producción. (PDF)</a><br />
<a href=""""https://alandap.files.wordpress.com/2015/10/administracion-de-la-cadena-de-suministro-estrategia-planeacion-y-operacion-sunil-chopra-peter-meindl.pdf” target=""""_blank"""">El Papel De La TI En La Cadena De Suministro (PDF)</a><br />
<a href=""""https://www.youtube.com/watch?v=Sc7hTkYdbxo“ target=""""_blank""""> Volumen óptimo de pedido | Gestión de stocks (Video)</a>
<a href=""""https://www.youtube.com/watch?v=4mPmc37pP-w"""" target=""""_blank"""">Gestión de pedidos – KPI’s Logísticos – Indicadores de desempeño logístico (Video)</a><br />
<a href=""""https://www.youtube.com/watch?v=PuEQro2dVdg"""" target=""""_blank"""">Indicadores de desempeño de compras – KPI Compras – Porcentaje de proveedores evaluados. (Video)</a><br />"
Acad_Teo_CA_departamento de compras agrega valor,¿Cómo el departamento de compras agrega valor a la productividad?,"Mediante prácticas de ahorros. <br />
Para más información relacionada con el tema, da clic en alguna de las opciones siguientes: <br />
<a href=""""https://es.scribd.com/doc/106183798/Importancia-de-la-relacion-y-comunicacion-de-Compras-con-los-demas-departamentos-de-la-organizacion"""" target=""""_blank"""">Importancia de la relación y comunicación de Compras con los demás departamentos de la organización. (PDF)</a><br />
<a href=""""https://alandap.files.wordpress.com/2015/10/administracion-de-la-cadena-de-suministro-estrategia-planeacion-y-operacion-sunil-chopra-peter-meindl.pdf” target=""""_blank"""">Tecnología De La Información En La Cadena De Suministro  (PDF)</a><br />
<a href=""""https://www.youtube.com/watch?v=YkikvkEYnws“ target=""""_blank"""">Sistemas de información de soporte a la gestión de la cadena de suministro, SCM||UPV (Video)</a>
<a href=""""https://www.youtube.com/watch?v=_ysrPuk0fgM"""" target=""""_blank"""">Gestión de la cadena de suministro (SCM). (Video)</a><br />"
Acad_Teo_CA_depende un buen resurtido,¿De qué depende un buen resurtido?,"De un pronóstico correcto. <br />
Para más información relacionada con el tema, da clic en alguna de las opciones siguientes: <br />
<a href=""""http://www.icicm.com/files/ADMON_INVENT_ALM.doc"""" target=""""_blank"""">Precio. (PDF)</a><br />
<a href=""""http://www.ptolomeo.unam.mx:8080/xmlui/bitstream/handle/132.248.52.100/12457/Informe.pdf?sequence=1” target=""""_blank"""">Implementación De Un Nuevo Sistema De Resurtido (PDF)</a><br />
<a href=""""https://www.youtube.com/watch?v=rpM5Sbg7TjQ&index=13&list=PLjo3pajcmevSaJgaJ0Qshus5bq6VbHCTq“ target=""""_blank Administración de almacenes 8- Qué es el método ABC Control de inventarios parte 1.  (Video)</a>
<a href=""""https://www.youtube.com/watch?v=apRwXXJJoBo&index=11&list=PLjo3pajcmevSaJgaJ0Qshus5bq6VbHCTq"""" target=""""_blank"""">Administración de almacenes 9 Máximos y mínimos de inventario parte 1.  (Video)</a><br />"
Acad_Teo_CA_diferencias entre el sector público y el privado,¿Cuáles son las principales diferencias entre el sector público y el privado?,"La propiedad y el objetivo. <br />
Para más información relacionada con el tema, da clic en alguna de las opciones siguientes: <br />
<a href=""""http://moodle2.unid.edu.mx/dts_cursos_mdl/ejec/AE/CI/S09/CI09_Lectura.pdf"""" target=""""_blank"""">Administración de compras e inventarios. (PDF)</a><br />
<a href=""""https://curiosoando.com/cuales-son-las-principales-diferencias-entre-el-sector-publico-y-el-sector-privado” target=""""_blank"""">¿Cuáles serían las principales diferencias entre el sector público y el sector privado?  (Página Web)</a><br />
<a href=""""https://www.youtube.com/watch?v=2dE3WKJ9aIs&t=28s“ target=""""_blank"""">Compras públicas (Video)</a>
<a href=""""https://www.youtube.com/watch?v=MhefaVgG0vQ&t=20s"""" target=""""_blank"""">Logística y distribución física internacional – Negocios internacionales. (Video)</a><br />"
Acad_Teo_CA_dinamismo comercial,¿Cómo se mide le dinamismo comercial de los bienes de capital?,"Índice comercial. <br />
Para más información relacionada con el tema, da clic en alguna de las opciones siguientes: <br />
<a href=""""http://eprints.ucm.es/40738/1/T38213.pdf"""" target=""""_blank"""">Bienes de capital, flujos tecnológicos y cambio estructural: los casos de Estados Unidos, Japón y Alemania, 1980-2005. (PDF)</a><br />
<a href=""""https://dialnet.unirioja.es/servlet/articulo?codigo=2991249” target=""""_blank"""">La investigación y el desarrollo como ejes centrales para la generación de bienes de capital. (PDF)</a><br />
<a href=""""https://www.youtube.com/watch?v=GdzuDb2Db5U“ target=""""_blank"""">Bienes de consumo y de capital (Video)</a>
<a href=""""https://www.youtube.com/watch?v=t6xVxtGyN34"""" target=""""_blank"""">Bienes de capital vs. Bienes de consumo y crecimiento económico. (Video)</a><br />"
Acad_Teo_CA_Disponibilidad del producto,¿Qué es la disponibilidad del producto?,Refleja la capacidad de la compañía para surtir un pedido de los clientes con el inventario existente.
Acad_Teo_CA_dos tipos de organización del área de compras,¿Cuáles son dos tipos de organización del área de compras?,Centralizada y descentralizada.
Acad_Teo_CA_duración de un bien de capital,¿En qué punto puedes conocer la duración de un bien de capital?,"Ciclo de vida del proyecto. <br />
Para más información relacionada con el tema, da clic en alguna de las opciones siguientes: <br />
<a href=""""http://200.40.96.180/images/guia_snip.pdf"""" target=""""_blank"""">Guía para la formulación y evaluación de proyectos de inversión. (PDF)</a><br />
<a href=""""https://www.slideshare.net/AngelPA70/las-7-claves-en-la-gestion-de-un-sistema-de-mantenimiento” target=""""_blank"""">Las 7 claves en la gestión de un sistema de mantenimiento. (Página Web)</a><br />
<a href=""""https://www.youtube.com/watch?v=N85I5HDAkDM“ target=""""_blank"""">Ciclo de vida de los proyectos. (Video)</a>
<a href=""""https://www.youtube.com/watch?v=MlyrriEzx3o"""" target=""""_blank"""">¿Qué es la gestión de proyectos? (Video)</a><br />
<a href=""""https://www.youtube.com/watch?v=yTMId3P-6Wk"""" target=""""_blank"""">Tipos de mantenimiento (Video)</a><br />"
Acad_Teo_CA_E-procurement,¿Qué es E-procurement?,"Automatiza el flujo de información asociado al aprovisionamiento. <br />
Para más información relacionada con el tema, da clic en alguna de las opciones siguientes: <br />
<a href=""""https://www.uaeh.edu.mx/investigacion/productos/5495/sistemas_de_informacion_para_la_cadena_tlaxcala_2012.pdf"""" target=""""_blank"""">Sistemas de información para la cadena de suministros. (PDF)</a><br />
<a href=""""https://revistas.unal.edu.co/index.php/dyna/article/download/9551/10142::pdf” target=""""_blank"""">Tecnologías De La Información En La Cadena De Suministro. (PDF)</a><br />
<a href=""""https://www.youtube.com/watch?v=CZAq3Ig-zIs“ target=""""_blank"""">Formación para empresa en habilidades de comunicación.. (Video)</a>
<a href=""""https://www.youtube.com/watch?v=BFHYEfjtaEM"""" target=""""_blank"""">Quien compra bien, vende bien. (Video)</a><br />"
Acad_Teo_CA_el cierre de adquisición,¿Qué es el cierre de adquisición?,"Auditorías de adquisición. <br />
Para más información relacionada con el tema, da clic en alguna de las opciones siguientes: <br />
<a href=""""http://www.cca.org.mx/funcionarios/cursos/ap089_2_anterior/apoyos/m4/proceso_t3p2_4.pdf"""" target=""""_blank"""">Proceso de adquisición de bienes o contratación de servicios. (PDF)</a><br />
<a href=""""https://uacm123.weebly.com/9-gestioacuten-de-las-adquisiciones-del-proyecto.html” target=""""_blank"""">Proceso de adquisición de bienes o contratación de servicios. (Web Page)</a><br />
<a href=""""https://www.youtube.com/watch?v=3milWd1covM"""" target=""""_blank"""">Proceso de logística. (Video)</a>
<a href=""""https://www.youtube.com/watch?v=znBAKRijhd4"""" target=""""_blank"""">Cerrar las adquisiciones. (Video)</a><br />"
Acad_Teo_CA_El trueque,¿Qué es el trueque?,Es la actividad que se presenta como antecedente de las compras.
Acad_Teo_CA_elabora una cotización,¿Quién elabora una cotización?,Este documento lo emiten los proveedores lanzando su propuesta comercial basada en las especificaciones del cliente.
Acad_Teo_CA_elemento da pie al inicio del VMI,¿Qué elemento da pie al inicio del VMI?,"Cuando el cliente envía un informe de actividad de productos. <br />
Para más información relacionada con el tema, da clic en alguna de las opciones siguientes: <br />
<a href=""""http://www.umng.edu.co/documents/10162/745279/V2N2_9.pdf"""" target=""""_blank"""">Coordinación De Existencias Mediante La Administración De Inventarios Por Parte Del Proveedor – VM. (PDF)</a><br />
<a href=""""https://www.datalliance.com/es/what-is-vmi” target=""""_blank"""">¿Qué es el Inventario Administrado por el Proveedor (VMI)?  (Página Web)</a><br />
<a href=""""https://www.youtube.com/watch?v=n6f6DDgT_aw“ target=""""_blank"""">VMI – Vendor Manager Inventory para IMMEX. (Video)</a>
<a href=""""https://www.youtube.com/watch?v=ruphZ31NmOY"""" target=""""_blank"""">VMI IMMEX  (Video)</a><br />"
Acad_Teo_CA_elementos hacen formal una orden,¿Qué elementos hacen formal una orden de compra?,"Asignar un número de folio para su archivo. <br />
Para más información relacionada con el tema, da clic en alguna de las opciones siguientes: <br />
<a href=""""https://prezi.com/ifobjpnn8irl/organizacion-del-departamento-de-compras/"""" target=""""_blank""""> Organización del Departamento de Compras. (PDF)</a><br />
<a href=""""https://alandap.files.wordpress.com/2015/10/administracion-de-la-cadena-de-suministro-estrategia-planeacion-y-operacion-sunil-chopra-peter-meindl.pdf” target=""""_blank"""">Tecnología De La Información En La Cadena De Suministro (PDF)</a><br />
<a href=""""https://www.youtube.com/watch?v=DOFiXlybwgQ“ target=""""_blank"""">Supplier RelationShip Management (SRM). (Video)</a>
<a href=""""https://www.youtube.com/watch?v=d2m-UlFw_Fs"""" target=""""_blank"""">Avances en relacionamiento con proveedores (Video)</a><br />
<a href=""""https://www.youtube.com/watch?v=7Fv_j9-lpiw&t=103s"""" target=""""_blank"""">Gestión de proveedores. (Video)</a><br />"
